Blog	four	looking	here	until	want	feature	how	re	tech	than	best	much	life	things	had	has	right	old	people	support	time	love	such	data	their	so	years	internet	million	one	open	future	say	take	going	where	many	being	around	world	favorite	her	am	an	as	at	tv	small	past	social	more	company	its	always	found	really	number	also	set	see	movie	couple	d	be	by	into	up	us	ago	results	try	video	let	great	makes	next	high	doing	could	system	should	hope	means	email	ve	off	less	web	become	does	work	after	then	them	they	another	john	what	do	we	com	night	post	months	way	was	live	car	can	product	still	not	now	year	online	america	only	between	learning	these	media	real	read	t	your	aren	start	lot	since	very	almost	site	help	actually	event	ask	latest	pretty	during	won	both	else	look	while	used	game	some	doesn	youtube	go	facebook	started	links	including	need	able	based	probably	she	i	well	twitter	home	he	using	even	new	ever	never	call	tell	before	better	side	content	isn	seen	don	m	bad	said	against	three	if	make	left	just	super	down	me	did	making	may	man	maybe	talk	nbsp	thing	think	first	long	little	anyone	were	show	get	reading	according	those	different	same	money	again	important	public	two	through	someone	everyone	house	hard	idea	least	part	most	find	point	simple	create	big	bit	google	often	back	from	power	ll	day	have	thought	add	smart	like	about	but	every	would	my	keep	end	over	writing	each	got	free	days	already	top	too	took	though	full	news	been	several	everything	no	when	says	today	trump	turn	place	white	any	ideas	later	state	come	case	good	week	without	blog	or	there	all	far	design	might	feel	story	his	him	wrote	art	are	recently	know	question	called	users	once	apple	use	few	something	instead	our	out	which	who	why	stories	job	last	will	other	because	getting	own	made	book
Schneier on Security	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	7	2	2	0	1	0	0	3	0	1	0	3	1	1	1	0	0	1	0	0	1	3	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	0	0	1	2	2	4	0	0	1	0	1	0	0	1	0	0	3	0	0	4	0	0	1	2	1	0	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0	1	1	2	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	5	1	0	1	0	2	3	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	4	1	0	0	1	0	0	0	2	0	1	0	1	0	0	0	0	1	1	1	1	0	0	1	0	2	0	0	0	0	3	0	0	1	0	0	0	0	3	0	0	0	0	0	1	1	0	1	0	1	0	1	2	0	0	0	0
PaulStamatiou.com - Technology, Design and Photography	0	0	1	0	0	0	11	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	2	1	0	0	3	3	2	0	0	1	0	0	0	1	0	3	0	1	0	2	0	0	0	16	0	0	1	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	1	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	6	1	0	0	0	0	0	4	1	0	0
Search Engine Roundtable	0	0	5	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	4	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	3	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	1	0	1	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	2	0	3	4	2	1	0	0	0	1	0	2	1	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	3	0	1	0	0	0	2	3	0	1	1	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	1	0	2	0	0	0	0	0	2	0	20	0	0	1	0	0	0	2	0	0	0	1	3	3	0	0	0	0	0	2	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	1	0	0	1	2	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
Copyblogger	0	0	0	1	0	0	5	1	0	2	0	0	2	0	2	0	3	2	0	0	4	0	0	0	2	0	0	0	0	3	0	0	0	3	0	2	0	0	0	0	0	4	0	4	6	3	0	2	1	0	13	0	0	0	0	1	0	0	0	2	1	0	0	3	1	2	3	2	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	0	1	3	0	0	0	0	3	0	4	0	1	0	0	2	2	5	0	0	11	0	0	4	0	0	3	0	0	1	1	0	0	0	0	0	0	1	0	3	10	6	23	0	1	0	0	1	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	1	0	0	0	3	10	2	0	1	1	2	1	0	1	1	0	0	0	0	1	5	2	0	4	2	0	1	0	2	1	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	16	0	1	1	1	1	3	1	0	0	0	0	0	2	0	0	1	1	0	0	0	2	3	0	0	0	0	0	2	2	3	0	0	0	0	2	0	0	0	2	0	0	0	0	6	2	0	0	5	0	0	1	3	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	3	2	0	3	2	0	1	0	1	0	0	2	0	2	0	0	0	1	0	0	0	0	0	2	2	2	1	2	1	3	0	0	0	0	0	1	0	0
John Battelle's Search Blog	0	0	4	0	1	0	6	1	0	1	0	2	0	1	0	2	1	0	1	0	1	0	0	8	0	7	2	0	0	5	0	1	0	0	1	1	2	0	0	0	1	0	0	2	3	1	0	1	0	4	0	3	1	0	1	2	0	1	0	0	0	0	5	2	1	0	3	0	2	0	0	0	3	0	0	0	0	2	0	0	3	0	0	0	3	0	0	0	0	5	0	0	0	1	2	0	20	7	5	3	0	1	21	1	1	0	0	0	0	0	0	10	2	7	0	0	0	0	0	2	0	0	2	5	2	0	1	0	0	0	0	2	0	0	0	1	0	2	0	0	0	0	0	2	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	26	0	0	0	0	0	0	7	0	0	0	0	1	1	0	1	3	0	0	5	0	0	0	1	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	22	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	1	0	0	1	4	0	0	0	0	0	0	2	1	0	8	0	0	1	2	0	0	1	1	1	5	3	0	11	0	0	3	2	0	0	1	1	0	0	0	0	0	0	0	3	0	0	4	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	20	0	1	3	0	0	0	1	0	0	0	2	0	3	0	4	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	6	2	1	1	0	0	0
Engadget RSS Feed	1	0	2	0	1	3	0	1	1	1	1	1	0	0	2	13	0	0	0	3	0	0	2	2	5	1	1	0	0	3	0	0	0	1	1	0	0	0	0	3	1	0	0	3	4	3	3	0	0	2	4	6	15	0	1	0	2	2	0	0	2	0	2	8	5	2	1	3	1	0	1	2	0	0	1	1	0	0	0	0	1	0	0	0	1	2	0	0	0	1	1	1	0	0	2	3	0	2	0	0	0	0	1	1	2	9	4	0	4	1	0	2	5	9	1	3	2	0	0	0	1	2	1	6	3	0	0	0	3	0	1	0	0	0	2	2	1	0	0	1	2	1	1	1	1	0	3	0	0	0	7	2	0	0	0	2	5	0	1	1	3	3	0	0	0	1	16	1	0	0	0	1	0	0	2	2	0	0	0	1	1	2	0	1	2	1	6	0	0	0	0	0	5	0	1	0	0	0	0	4	0	2	0	1	3	1	0	1	1	0	1	0	1	0	0	2	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	2	0	2	8	1	1	0	5	0	3	0	2	5	3	0	1	2	0	0	2	0	0	0	1	1	2	1	2	0	2	0	2	5	0	0	0	4	2	4	0	0	0	0	1	0	0	0	0	0	2	2	0	0	1	0	1	0	0	2	1	0	0	0	0	1	0	0	1	0	0	3	0	2	0	1	1	1	0	2	1	0	0	2	0	3	8	1	1	0	1	1	1
TMZ.com	0	1	1	0	0	0	1	1	0	2	1	1	0	0	0	4	0	2	1	0	0	0	0	0	1	2	1	1	2	2	0	0	0	0	1	1	0	0	1	2	0	5	0	7	1	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	1	1	1	4	1	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	2	1	0	1	0	5	0	0	0	0	1	16	0	0	1	0	0	5	0	3	0	0	0	0	0	1	0	1	0	7	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	2	0	0	2	0	0	0	0	1	1	0	1	12	0	0	0	1	7	0	0	1	2	1	0	3	1	1	1	0	0	1	0	0	1	0	0	0	1	0	0	6	2	1	0	1	0	0	3	0	0	0	0	0	0	1	3	0	1	0	3	0	0	1	0	0	1	1	0	1	0	0	0	1	4	0	0	2	0	0	0	0	0	0	4	0	0	0	0	4	0	1	2	6	1	0	0	1	3	3	0	1	0	0	0	1	0	0	7	0	1	1	0	1	0	0	1	0	1	0	0	1	2	2	0	6	0	2	3	0	0	0	0	0	2	1	1	0	0	1	0	3	1	0	1	0	0	8	5	0	0	2	0	2	0	0	0	1	0	0	1	0	1	1	8	1	6	1	0	2	1	0	1	3	0	0	2	0
NewsBusters	0	1	0	3	0	0	3	3	0	5	0	3	0	0	4	6	1	1	13	1	3	0	0	1	11	6	0	1	1	9	0	0	3	1	0	0	1	4	3	4	0	5	0	17	26	20	2	1	1	2	6	0	4	2	1	2	1	2	0	0	0	0	2	5	21	5	6	3	2	0	0	1	1	0	0	1	0	1	2	0	1	0	1	2	1	3	2	0	0	0	0	8	0	7	12	2	4	4	3	9	1	2	2	0	1	15	0	1	3	1	2	9	2	3	1	5	3	7	0	2	14	1	0	14	0	0	0	1	3	0	0	1	2	0	1	0	3	0	7	1	1	1	2	4	4	2	5	3	0	1	0	0	0	0	1	0	0	1	1	1	1	2	1	6	4	1	13	2	2	0	1	2	0	0	0	1	0	4	1	2	1	3	1	6	2	3	4	5	1	0	2	0	1	1	0	1	39	2	0	5	1	3	0	6	6	8	0	2	9	0	1	3	2	1	2	4	2	3	0	10	0	2	0	1	3	4	2	1	1	5	1	0	0	1	9	0	0	8	7	0	0	0	10	17	8	1	7	0	1	2	10	0	0	0	2	1	0	0	4	4	0	3	19	1	0	3	1	7	1	3	44	0	2	9	5	0	1	0	0	0	3	4	0	0	2	5	5	2	0	1	0	5	12	3	0	1	11	0	1	2	1	0	1	0	3	1	0	2	3	7	5	5	0	4	0	5	1	2	2	0	1	6	1
ProBlogger	0	1	1	0	6	0	16	8	6	1	0	0	0	1	0	1	0	0	1	0	3	0	0	0	9	3	5	0	0	12	0	0	0	0	2	4	0	0	1	1	0	16	0	0	0	5	0	0	1	1	24	0	0	0	0	1	0	0	0	0	0	0	0	3	2	0	1	4	1	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	4	2	0	0	1	0	3	2	1	1	3	1	0	0	3	12	0	0	20	1	0	1	0	0	2	3	2	1	0	9	3	0	0	3	0	2	0	0	1	0	29	0	11	0	1	0	0	1	2	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	2	0	10	0	0	1	0	0	2	1	19	0	0	1	0	4	1	10	0	1	0	8	0	0	0	0	0	0	0	4	0	0	0	0	4	0	0	0	0	0	4	0	2	1	0	0	1	0	0	3	21	0	0	0	0	1	5	1	0	0	0	0	0	3	0	0	5	1	0	1	0	0	0	0	1	2	0	0	0	2	1	0	0	1	1	24	0	2	3	3	0	0	0	0	6	0	2	0	4	0	1	18	3	2	1	1	0	0	0	0	1	1	3	0	3	0	0	0	2	0	12	0	0	0	0	0	3	0	0	0	0	0	0	0	38	6	0	3	0	0	2	0	16	6	0	1	0	0	0	0	1	0	0	3	0	0	0	1	0	17	2	1	2	2	16	1	4	0	0	0	0	0	1	0
Steve Pavlina	0	1	1	0	4	2	14	1	0	2	0	1	6	0	0	2	0	0	24	0	8	1	0	0	1	4	0	1	3	4	1	0	1	0	0	2	3	1	0	0	0	0	4	5	1	2	0	0	0	0	2	0	0	1	0	3	0	0	0	2	0	0	3	4	1	4	4	0	0	2	1	11	0	0	1	3	2	4	1	0	1	0	0	2	8	1	0	0	0	0	0	1	0	2	2	0	0	3	7	9	1	0	20	1	0	3	1	0	5	17	0	1	3	4	5	0	2	1	0	0	0	1	0	4	10	0	2	1	2	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	2	0	3	0	0	0	0	0	0	1	0	0	0	0	0	32	4	0	0	5	0	2	7	1	0	4	0	3	2	0	0	0	0	2	5	0	0	0	0	7	0	0	4	0	0	1	0	1	1	0	0	1	0	0	0	22	1	0	0	0	1	3	0	0	1	0	0	0	1	2	0	1	3	1	0	0	0	1	0	0	1	0	1	0	2	9	0	0	1	0	4	1	3	2	6	0	1	20	4	6	1	0	0	14	0	0	1	0	1	0	9	7	3	0	0	0	0	0	1	3	2	1	2	5	0	4	0	1	0	0	1	0	0	2	0	0	0	1	1	2	9	1	0	0	0	0	1	0	3	0	0	0	8	0	4	1	0	0	0	0	2	2	1	1	6	0	2	1	1	0	0	3	1	1	1	1	1	0	0
